Date,Close
04-May-23,18255.8
03-May-23,18089.85
02-May-23,18147.65
28-Apr-23,18065
27-Apr-23,17915.05
26-Apr-23,17813.6
25-Apr-23,17769.25
24-Apr-23,17743.4
21-Apr-23,17624.05
20-Apr-23,17624.45
19-Apr-23,17618.75
18-Apr-23,17660.15
17-Apr-23,17706.85
13-Apr-23,17828
12-Apr-23,17812.4
11-Apr-23,17722.3
10-Apr-23,17624.05
06-Apr-23,17599.15
05-Apr-23,17557.05
03-Apr-23,17398.05
31-Mar-23,17359.75
29-Mar-23,17080.7
28-Mar-23,16951.7
27-Mar-23,16985.7
24-Mar-23,16945.05
23-Mar-23,17076.9
22-Mar-23,17151.9
21-Mar-23,17107.5
20-Mar-23,16988.4
17-Mar-23,17100.05
16-Mar-23,16985.6
15-Mar-23,16972.15
14-Mar-23,17043.3
13-Mar-23,17154.3
10-Mar-23,17412.9
09-Mar-23,17589.6
08-Mar-23,17754.4
06-Mar-23,17711.45
03-Mar-23,17594.35
02-Mar-23,17321.9
01-Mar-23,17450.9
28-Feb-23,17303.95
27-Feb-23,17392.7
24-Feb-23,17465.8
23-Feb-23,17511.25
22-Feb-23,17554.3
21-Feb-23,17826.7
20-Feb-23,17844.6
17-Feb-23,17944.2
16-Feb-23,18035.85
15-Feb-23,18015.85
14-Feb-23,17929.85
13-Feb-23,17770.9
10-Feb-23,17856.5
09-Feb-23,17893.45
08-Feb-23,17871.7
07-Feb-23,17721.5
06-Feb-23,17764.6
03-Feb-23,17854.05
02-Feb-23,17610.4
01-Feb-23,17616.3
31-Jan-23,17662.15
30-Jan-23,17648.95
27-Jan-23,17604.35
25-Jan-23,17891.95
24-Jan-23,18118.3
23-Jan-23,18118.55
20-Jan-23,18027.65
19-Jan-23,18107.85
18-Jan-23,18165.35
17-Jan-23,18053.3
16-Jan-23,17894.85
13-Jan-23,17956.6
12-Jan-23,17858.2
11-Jan-23,17895.7
10-Jan-23,17914.15
09-Jan-23,18101.2
06-Jan-23,17859.45
05-Jan-23,17992.15
04-Jan-23,18042.95
03-Jan-23,18232.55
02-Jan-23,18197.45
30-Dec-22,18105.3
